17:PROTX1@nn@RNAi@nsubj@influence@dobj@expression@nn@PROTX2	DLX4	Bax
10745:PROTX1@prep_of@role@prep_in@biogenesis@nn@PROTX2	DDX3	breast cancer
10747:PROTX1@prep_of@Overexpression@nsubj@formed@prep_in@assays@amod@PROTX2	DDX3	soft-agar
10756:PROTX1@amod@variants@prep_between@association@prep_between@risk@nn@PROTX2	ATM	breast cancer
10758:PROTX1@nn@)@nsubj@reflect@dobj@activity@prep_of@protein@nn@PROTX2	HER2	HER2
10777:PROTX1@nn@protein@prep_of@Expression@nsubj@microarrays@dobj@)@prep_of@PROTX2	breast	breast cancer
10801:PROTX1@nsubj@signature@prep_with@)@nn@PROTX2	TP53	HR
10831:PROTX1@nsubj@regulator@prep_with@PROTX2	MDM4	MDM2
10840:PROTX1@nn@allele@nsubj@factor@prep_for@PROTX2	MDM2	breast cancer
10847:PROTX1@nn@allele@nsubj@increase@dobj@risk@nn@PROTX2	CYP17	breast cancer
10860:PROTX1@nn@gene@nsubj@blocking@dobj@results@nn@PROTX2	FAS	FAS
10865:PROTX1@nn@cells@prep_with@PROTX2	breast	UCN-01
10878:PROTX1@nn@cells@prep_with@)@amod@PROTX2	breast cancer	ErbB3
10879:PROTX1@nn@)@nsubj@plays@dobj@role@prep_in@progression@nn@PROTX2	PAK1	breast cancer
10880:PROTX1@nn@treatment@prep_of@PROTX2	HRG	PAK1
10896:PROTX1@nn@result@prep_on@biopsy@nn@PROTX2	HER2	breast
10931:PROTX1@nn@risk@prep_in@variants@nn@PROTX2	breast cancer	BRCA2
10968:PROTX1@prep_of@binding@dobj@increased@prep_to@sequence@amod@PROTX2	Sp1	Sp1
10979:PROTX1@nsubj@increases@dobj@activity@prep_of@)@prep_in@line@nn@PROTX2	Pin1	breast cancer
10983:PROTX1@nsubj@stimulates@dobj@expression@amod@PROTX2	Pin1	VEGF
10984:PROTX1@prep_of@detection@nsubj@treatments@dobj@exist@prep_for@cancers@nn@PROTX2	breast cancer	breast
10985:PROTX1@nn@family@prep_of@transporters@prep_including@PROTX2	ABC	ABCB1
11007:PROTX1@prep_of@Over-expression@nsubj@suppressed@dobj@activity@prep_of@form@prep_of@PROTX2	PML-2KA	PKM2
11011:PROTX1@nn@GTPases@prep_of@subfamily@nn@PROTX2	Rho	RhoBTB
11013:PROTX1@nn@subfamily@nsubj@consists@dobj@PROTX2	RhoBTB	RhoBTB1
11017:PROTX1@nsubj@molecule@partmod@implicated@prep_in@progression@prep_of@PROTX2	CD44	breast cancer
11020:PROTX1@nn@downregulation@dobj@define@prep_on@promoter@nn@PROTX2	TGF-beta1-mediated	TGFBR3
11035:PROTX1@prep_of@contribution@dobj@rule@prep_to@PROTX2	FANCB	breast cancer
11041:PROTX1@nsubj@using@dobj@)@nn@PROTX2	miR21	Rluc
11042:PROTX1@prep_of@detection@nsubj@using@dobj@PROTX2	miR21	miR21
11052:PROTX1@amod@carcinoma@prep_of@PROTX2	pure	breast
11053:PROTX1@prep_of@carcinoma@nsubj@variant@prep_of@PROTX2	breast	breast cancer
11060:PROTX1@nn@)@nsubj@form@prep_of@PROTX2	breast cancer	breast cancer
11061:PROTX1@nn@)@nsubj@form@prep_of@PROTX2	breast cancer	breast cancer
11085:PROTX1@nn@kinase@prep_of@Inhibition@nsubj@blocked@dobj@activation@nn@PROTX2	Src	CREB
11090:PROTX1@nsubj@has@dobj@mutation@prep_of@gene@nn@PROTX2	breast cancer	TP53
11093:PROTX1@prep_with@individual@nsubj@has@dobj@mutation@amod@PROTX2	breast cancer	BRCA1
11099:PROTX1@nsubj@stabilizes@dobj@PROTX2	aPKC	SRC-3
11100:PROTX1@amod@region@prep_in@PROTX2	residue-rich	SRC-3
11113:PROTX1@nsubj@mapped@prep_to@region@amod@PROTX2	core	6-Mb
11123:PROTX1@nsubj@relevant@prep_to@metastasis@nn@PROTX2	Tac1	breast cancer
11133:PROTX1@nn@kinase@nsubj@phosphorylates@dobj@PROTX2	PRLr	PRLr
11139:PROTX1@nsubjpass@overexpressed@prep_in@%@prep_of@tumors@nn@PROTX2	Her2	breast
11155:PROTX1@nn@siRNA@prep_of@depletion@nsubj@down-regulated@dobj@expression@nn@PROTX2	HDAC2	PR
11156:PROTX1@prep_of@depletion@nsubj@resulted@prep_in@depletion@prep_of@PROTX2	HDAC2	PR
11177:PROTX1@xsubj@enhance@dobj@invasion@prep_of@cells@nn@PROTX2	CCR7	breast cancer
11182:PROTX1@nsubj@increased@dobj@expression@amod@PROTX2	COX-2	CCR7
11184:PROTX1@nn@overexpression@nsubjpass@associated@prep_with@PROTX2	COX-2	CCR7
11186:PROTX1@nsubj@target@prep_for@PROTX2	CCR7	COX-2
11190:PROTX1@nn@size@prep_of@number@nn@PROTX2	pT	pN
11197:PROTX1@nn@doxorubicin@nsubj@superior@prep_to@PROTX2	dd	AC
11200:PROTX1@prep_of@analysis@nsubj@allows@dobj@dissection@prep_in@patients@nn@PROTX2	SN	SN
11201:PROTX1@nn@(@nsubj@OSNA#@dobj@)@prep_for@analysis@nn@PROTX2	step	SN
11203:PROTX1@dobj@using@prep_with@PROTX2	SDS-PAGE	RPLC-ESI-MS/MS.
11204:PROTX1@amod@expression@prep_of@PROTX2	RHEB	breast
11206:PROTX1@nsubj@indicated@dobj@expression@prep_of@PROTX2	RT-PCR	RHEB
11210:PROTX1@nsubjpass@involved@prep_in@carcinogenesis@nn@PROTX2	CDKN1C	breast
11215:PROTX1@amod@status@prep_in@PROTX2	HER2	breast cancer
11217:PROTX1@nsubj@encodes@dobj@PROTX2	ECHDC1	RNF146
11230:PROTX1@nn@)@prep_of@isoform@nsubj@reduces@dobj@activity@prep_of@PROTX2	DNAJB6	breast cancer
11235:PROTX1@nsubj@induces@dobj@apoptosis@prep_in@lines@nn@PROTX2	PPM1D	breast cancer
11247:PROTX1@nsubj@reduced@prep_in@cells@nn@PROTX2	rAd-ODC/Ex3as	MDA-MB-231
11263:PROTX1@nn@carcinoma@nsubj@express@dobj@PROTX2	breast	Nodal
11285:PROTX1@nn@6Km@nsubj@repress@dobj@induction@nn@PROTX2	Gsc	Foxh1-mediated
11290:PROTX1@nn@)@nsubj@increased@prep_by@PROTX2	Pgp	2.5-fold
11295:PROTX1@nsubj@conferred@dobj@phenotypes@prep_on@cells@nn@PROTX2	Rab27A	breast cancer
11299:PROTX1@xsubj@promote@dobj@growth@nn@PROTX2	SATB1	breast
11308:PROTX1@amod@gene@prep_on@formation@prep_of@PROTX2	FHIT	breast cancer
11310:PROTX1@nn@tissue@prep_of@women@prep_with@disease@nn@PROTX2	breast	breast
11313:PROTX1@nn@phosphorylation@amod@PROTX2	SCF	c-kit
11327:PROTX1@prep_of@down-regulation@nsubj@promoted@dobj@apoptosis@prep_of@lines@amod@PROTX2	NOTCH3	ErbB2-negative
11328:PROTX1@prep_of@Down-regulation@nsubj@have@dobj@effect@prep_on@lines@amod@PROTX2	NOTCH3	ErbB2-positive
11329:PROTX1@prep_of@Down-regulation@nsubj@suppressed@dobj@proliferation@prep_of@lines@nn@PROTX2	CSL	ErbB2-negative
11331:PROTX1@nsubj@plays@dobj@role@prep_in@proliferation@prep_of@cells@nn@PROTX2	NOTCH3-mediated	ErbB2-negative
11360:PROTX1@prep_of@PCR@nsubj@discriminated@dobj@tissues@nn@PROTX2	DFNA5	breast cancer
11367:PROTX1@amod@gene@prep_in@PROTX2	TP53	breast cancer
11370:PROTX1@amod@amplifications@prep_in@PROTX2	C-MYC	breast cancer
11389:PROTX1@prep_of@Association@nsubj@polymorphisms@prep_with@PROTX2	CYP1A1	breast cancer
11390:PROTX1@nn@)@nsubj@gene@prep_for@)@nn@PROTX2	CYP	breast cancer
11403:PROTX1@nsubj@resulted@prep_in@reduction@prep_of@protein@amod@PROTX2	STAT3	Twist
11404:PROTX1@nsubj@bound@prep_to@site@nn@PROTX2	STAT3	STAT3-binding
11415:PROTX1@prep_of@alleles@nsubjpass@associated@prep_with@risk@nn@PROTX2	SNP	breast cancer
11426:PROTX1@nn@carcinomas@prep_of@harbored@dobj@promoter@nn@PROTX2	breast	SFRP5
11450:PROTX1@nsubjpass@implicated@prep_in@metastasis@prep_of@PROTX2	EVL	breast cancer
11459:PROTX1@nn@mutants@nsubj@augment@prep_to@PROTX2	Smo	Mdm2
11460:PROTX1@nn@signaling@nsubj@induced@dobj@phosphorylation@prep_of@protein@amod@PROTX2	Hh	Mdm2
11462:PROTX1@nn@)@xsubj@regulator@prep_of@phosphorylation@nn@PROTX2	PNUTS	Rb
11474:PROTX1@prep_of@Expression@nsubj@increases@dobj@abundance@prep_of@)@nn@PROTX2	Msi1	Sca-1(
11488:PROTX1@nsubj@300@prep_of@)@nn@PROTX2	SNP	ATG16L1
11496:PROTX1@nn@transduction@prep_of@PROTX2	Tat	E2F-1
11501:PROTX1@nn@tissue@prep_in@identified@prep_to@PROTX2	breast	breast
11516:PROTX1@prep_in@mutations@nsubj@explain@dobj@clustering@prep_of@cases@nn@PROTX2	HSD17B2	breast cancer
11530:PROTX1@amod@inhibitor@prep_in@PROTX2	Ras-related	breast cancer
11557:PROTX1@amod@transcription@dobj@stimulated@prep_to@site@nn@PROTX2	BRCA1	AP-1
11560:PROTX1@nsubj@regulates@dobj@expression@prep_of@cofactors@nn@PROTX2	HoxB7	Hox
11561:PROTX1@nn@cofactors@prep_in@activity@prep_of@PROTX2	Hox	HoxB7
11562:PROTX1@nn@genes@prep_in@complexes@nn@PROTX2	Hox	breast
11570:PROTX1@prep_of@conducted@prep_from@women@prep_with@PROTX2	sera	breast cancer
11590:PROTX1@nsubj@abrogated@dobj@activity@amod@PROTX2	Src	Id1
11593:PROTX1@nn@inhibitors@nsubj@binding@prep_to@region@amod@PROTX2	Src	Src-responsive
11607:PROTX1@nsubj@have@dobj@PROTX2	breast cancer	D1
11610:PROTX1@amod@overexpression@prep_of@PROTX2	HER2	breast cancer
11620:PROTX1@amod@selection@partmod@leading@prep_to@overexpression@prep_of@PROTX2	single-step	ABCG2
11648:PROTX1@nsubj@indicates@dobj@reduction@prep_in@risk@amod@PROTX2	meta-analysis	pre
11649:PROTX1@nn@mutation@nsubj@(@dobj@E17K)@nn@PROTX2	AKT1	AKT1
11657:PROTX1@nsubj@reduced@dobj@proteolysis@prep_of@PROTX2	DN-PAK1	IV
11674:PROTX1@prep_of@%@nsubj@expressing@dobj@PROTX2	breast cancer	ERp29
11679:PROTX1@nn@cells@prep_of@Treatment@prep_with@)@nn@PROTX2	breast	TAM
11681:PROTX1@nn@biopsies@prep_of@tissue@nn@PROTX2	Core	breast
11690:PROTX1@nsubj@gene@nsubjpass@associated@prep_with@development@prep_of@PROTX2	BRCA1	breast cancer
11708:PROTX1@nsubj@ligands@dobj@PROTX2	EGFR	EGF
11718:PROTX1@nn@)@dobj@MMC)@prep_with@)@nn@PROTX2	CPT-11	breast cancer
11728:PROTX1@nsubj@suppressor@prep_of@PROTX2	PCDH8	breast cancer
11732:PROTX1@nn@)@nsubj@problem@prep_in@patients@nn@PROTX2	TAM	breast cancer
11736:PROTX1@nsubj@binding@prep_to@site@prep_of@promoter@amod@PROTX2	PEA3	erbB2
11748:PROTX1@prep_of@depletion@nsubj@interferes@prep_with@dephosphorylation@prep_of@PROTX2	Pak1	cofilin
11751:PROTX1@prep_of@depletion@nsubj@decreases@dobj@levels@amod@PROTX2	Pak1	phospho-MLC
11752:PROTX1@nn@phosphorylation@prep_on@effects@prep_on@PROTX2	MLC	Pak1
11755:PROTX1@prep_between@differences@prep_between@isoforms@nn@PROTX2	Pak1	Pak2
11756:PROTX1@nn@activation@prep_of@PROTX2	RasGRP4-mediated	N-Ras
11757:PROTX1@prep_of@Binding@nsubj@stabilizes@dobj@PROTX2	K-Ras	K-Ras
11758:PROTX1@nsubj@interact@prep_with@PROTX2	Gal-3	N-Ras
11762:PROTX1@prep_of@domain@nsubj@inhibits@dobj@GTP@nn@PROTX2	Gal-3	RasGRP4-mediated
11771:PROTX1@nsubj@plays@dobj@role@prep_in@migration@prep_of@cells@nn@PROTX2	TAZ	breast cancer
11774:PROTX1@nsubjpass@overexpressed@prep_in@%@prep_of@samples@nn@PROTX2	TAZ	breast cancer
11775:PROTX1@nsubj@plays@prep_in@migration@prep_of@cells@nn@PROTX2	TAZ	breast cancer
11786:PROTX1@nsubj@target@prep_of@PROTX2	SDC-1	PUFA
11803:PROTX1@amod@polymorphism@prep_between@association@prep_between@PROTX2	GSTA1	breast cancer
11818:PROTX1@nn@gene@nsubj@encodes@prep_with@PROTX2	BRIP1	BRCA1
11827:PROTX1@prep_of@polymorphism@nsubj@depended@prep_on@patterns@prep_of@PROTX2	TNFa	breast
11832:PROTX1@prep_of@complex@prep_of@PROTX2	PR	Msk1
11857:PROTX1@nn@tyrosine@nsubj@kinase@prep_with@)@nn@PROTX2	Src	Cas
11858:PROTX1@nsubj@utilizes@acomp@PROTX2	Src	Cas
11860:PROTX1@nsubj@induced@dobj@expression@prep_of@)@nn@PROTX2	Fhl1	Sdpr
11865:PROTX1@nsubjpass@suppressed@prep_in@tumors@prep_of@PROTX2	Src	breast
11877:PROTX1@amod@overexpression@prep_of@PROTX2	MMTV-Cre-mediated	PLAG1
11886:PROTX1@nsubj@derived@dobj@lines@nn@PROTX2	MDA-MB-231	breast cancer
11888:PROTX1@nn@analysis@nsubj@test@prep_in@metastases@nn@PROTX2	HER2	breast cancer
11899:PROTX1@nsubj@modulates@dobj@activity@prep_of@PROTX2	Brd4	Sipa1
11902:PROTX1@nn@treatment@prep_to@cells@nn@PROTX2	RSV	breast cancer
11916:PROTX1@nn@group@prep_in@PROTX2	CD109-positive	BLC
11917:PROTX1@nsubj@marker@prep_for@PROTX2	CD109	BLC
11923:PROTX1@nsubj@play@dobj@role@prep_in@growth@nn@PROTX2	DDB2	breast cancer
11937:PROTX1@prep_of@Association@nsubj@variants@prep_with@PROTX2	ATM	breast cancer
11943:PROTX1@prep_with@complex@prep_with@PROTX2	HER2	HER3
11945:PROTX1@nsubj@enhances@dobj@migration@prep_of@cells@nn@PROTX2	TNK2	breast cancer
11947:PROTX1@xsubj@regulate@dobj@migration@nn@PROTX2	TNK2	Cdc42-driven
11953:PROTX1@nn@role@prep_of@mechanisms@prep_on@development@nn@PROTX2	SHBG	breast cancer
11970:PROTX1@nn@patients@prep_with@history@prep_of@PROTX2	MBC	breast cancer
11992:PROTX1@prep_of@association@dobj@studied@prep_with@repeat@nn@PROTX2	breast cancer	CA
11999:PROTX1@prep_of@variation@nsubj@endocrine@dobj@therapy@prep_for@PROTX2	CYP2D6	breast cancer
12002:PROTX1@prep_of@prevalence@nsubj@germline@prep_with@PROTX2	PALB2	breast cancer
12005:PROTX1@nn@mutations@nsubj@responsible@prep_with@PROTX2	PALB2	breast cancer
12013:PROTX1@prep_between@interaction@prep_between@PROTX2	c-Src	EGFR
12014:PROTX1@prep_between@synergism@prep_between@PROTX2	c-Src	EGFR
12017:PROTX1@prep_between@synergy@prep_between@PROTX2	c-Src	EGFR
12024:PROTX1@xsubj@classify@dobj@tumors@nn@PROTX2	list	breast
12026:PROTX1@nn@cases@nsubj@(@dobj@)@nn@PROTX2	breast cancer	SNP
12029:PROTX1@amod@increase@prep_in@PROTX2	4.16-fold	breast cancer
12030:PROTX1@amod@increase@prep_in@PROTX2	6.56-fold	breast cancer
12031:PROTX1@nsubj@accelerates@dobj@PROTX2	CD151	breast cancer
12051:PROTX1@nn@IRES@prep_of@dysregulation@nsubj@responsible@prep_for@overexpression@nn@PROTX2	IGF-IR	IGF-IR
12057:PROTX1@amod@increase@prep_in@PROTX2	5.3-fold	AKT1
12058:PROTX1@nsubjpass@involved@prep_in@effect@prep_of@Delta9-tetrahydrocannabinol@prep_on@cells@nn@PROTX2	JunD	breast cancer
12059:PROTX1@nsubj@activates@dobj@PROTX2	THC	JunD
12063:PROTX1@nsubj@participates@prep_in@action@nn@PROTX2	p8	THC
12075:PROTX1@prep_of@induction@nsubj@cytochrome@dobj@1B1@number@PROTX2	P450	P450
12096:PROTX1@nn@polymorphism@prep_between@association@prep_between@progression@nn@PROTX2	XPD	breast cancer
12102:PROTX1@nn@patients@nsubj@using@dobj@PROTX2	breast cancer	RT-PCR.
12110:PROTX1@prep_of@up-regulation@nsubj@increases@prep_to@PROTX2	FGFR2	breast cancer
12113:PROTX1@nsubj@harbour@dobj@rearrangements@amod@PROTX2	ACCs	ETV6
12129:PROTX1@prep_of@Pharmacogenomics@nsubj@transporters@dobj@)@nn@PROTX2	MRP	ABCC1-5
12152:PROTX1@nsubj@activating@dobj@pathway@nn@PROTX2	EGF	EGF
12154:PROTX1@prep_of@action@nsubj@include@dobj@up-regulation@prep_of@PROTX2	EGF	GPR30
12156:PROTX1@nsubj@inhibited@dobj@migration@prep_of@PROTX2	DACH1	Ras
12157:PROTX1@nsubj@assays@prep_through@PROTX2	DACH1	AP-1
12158:PROTX1@nsubjpass@diagnosed@prep_with@carcinoma@nn@PROTX2	NF1	breast
12159:PROTX1@nn@carcinomas@nsubj@represent@prep_to@PROTX2	breast	breast
12161:PROTX1@dobj@vs@prep_to@PROTX2	breast cancer	breast
12164:PROTX1@nn@analysis@nsubj@revealed@dobj@)@nn@PROTX2	RT-PCR	IRF8
12191:PROTX1@nn@activation@prep_on@action@prep_of@PROTX2	IFN-gamma	STAT1
12198:PROTX1@nsubj@loses@prep_than@PROTX2	s-COMT	s-COMT
12217:PROTX1@nn@(@prep_of@Polymorphism@nsubj@susceptibility@prep_to@PROTX2	XRCC1	breast cancer
12218:PROTX1@prep_of@polymorphism@prep_between@association@prep_between@risk@prep_of@PROTX2	XRCC1	breast cancer
12237:PROTX1@prep_between@interactions@prep_between@Four@nn@PROTX2	TACC1	FHL
12241:PROTX1@prep_of@effects@dobj@antagonized@prep_on@PROTX2	cAMP	COX-2
12244:PROTX1@nsubj@plays@prep_in@cells@nn@PROTX2	PR	breast cancer
12245:PROTX1@prep_in@results@nsubj@stimulation@prep_of@activity@nn@PROTX2	breast	AHR
12258:PROTX1@amod@increase@prep_in@PROTX2	4-fold	2.3-fold
12265:PROTX1@nn@protein@partmod@induced@agent@PROTX2	HO-1	IX
12281:PROTX1@prep_between@associations@prep_between@PROTX2	CYP11A1	CYP17A1
12286:PROTX1@nn@genotype@nsubj@modifies@prep_on@risk@nn@PROTX2	CAT	breast cancer
12289:PROTX1@nn@alpha@nsubj@regulate@dobj@growth@prep_of@cells@nn@PROTX2	TNF	breast cancer
12313:PROTX1@nn@associates@prep_with@PROTX2	WWOX	RUNX2
12314:PROTX1@nsubj@suppresses@dobj@ability@amod@PROTX2	WWOX	RUNX2
12320:PROTX1@amod@status@prep_in@PROTX2	HER2	breast cancer
12324:PROTX1@amod@status@prep_in@PROTX2	HER2	breast cancer
12326:PROTX1@nn@group@nn@PROTX2	RT	CT
12342:PROTX1@nsubjpass@expressed@prep_in@number@prep_of@lines@nn@PROTX2	STC2	breast cancer
12367:PROTX1@amod@up-regulation@prep_of@PROTX2	HER2	GRO
12381:PROTX1@nn@polymorphism@prep_between@patients@prep_with@PROTX2	SULT1A1	EC
12394:PROTX1@nsubj@play@prep_in@responsiveness@prep_of@cells@nn@PROTX2	SHBG	breast
12406:PROTX1@nsubj@inhibited@dobj@expression@prep_of@PROTX2	GEN	CYP1A1
12417:PROTX1@nn@heterozygotes@nsubj@have@dobj@risk@nn@PROTX2	ATM	breast cancer
12438:PROTX1@nn@family@prep_of@contrast@amod@PROTX2	SRC	SRC-1
12444:PROTX1@amod@mutations@prep_in@PROTX2	Germ-line	BRCA1
12462:PROTX1@nn@variants@prep_on@cells@nn@PROTX2	HGF	breast cancer
12470:PROTX1@prep_of@knockdown@nsubj@promotes@dobj@expression@nn@PROTX2	BRMS1	CXCR4
12472:PROTX1@nsubj@regulates@prep_through@down-regulation@prep_of@PROTX2	BRMS1	CXCR4
12484:PROTX1@nsubjpass@found@nsubjpass@PROTX2	EGF	EGFR
12487:PROTX1@nn@imaging@prep_of@+@nn@PROTX2	PCT	HER2
12500:PROTX1@amod@activity@prep_by@PROTX2	HDAC1	MS-275
12501:PROTX1@prep_of@stability@nsubjpass@maintained@prep_through@association@prep_with@PROTX2	DNMT1	Hsp90
12508:PROTX1@nn@)@nsubj@inhibits@dobj@proliferation@nn@PROTX2	NaPa	breast cancer
12511:PROTX1@nn@domains@nsubj@essential@prep_for@function@prep_of@PROTX2	BRCA1	BRCA1
12515:PROTX1@nsubj@germline@prep_with@PROTX2	BRCA1	breast cancer
12517:PROTX1@num@mutations@prep_of@frequency@dobj@known@prep_with@PROTX2	BRCA1	breast cancer
12534:PROTX1@prep_of@)@nsubj@reduced@dobj@induction@prep_of@)@nn@PROTX2	DHT	PR
12546:PROTX1@prep_of@up-regulation@nsubj@explains@dobj@effect@prep_of@activity@prep_against@PROTX2	BRCA1	breast cancer
12547:PROTX1@nn@)@prep_of@Overexpression@nsubj@parameter@prep_for@patients@prep_with@PROTX2	HER2	breast cancer
12553:PROTX1@nsubj@has@dobj@activity@prep_in@cells@nn@PROTX2	Mel-18	breast cancer
12555:PROTX1@prep_between@saw@prep_in@tissues@nn@PROTX2	Mel-18	breast
12571:PROTX1@prep_of@majority@nsubj@expresses@dobj@)@nn@PROTX2	breast cancer	AR
12572:PROTX1@nn@ligand@nsubj@inhibits@dobj@growth@nn@PROTX2	AR	breast cancer
12573:PROTX1@nsubj@induces@dobj@association@prep_of@PROTX2	DHT	AR
12611:PROTX1@amod@gene@prep_in@PROTX2	RHBDF1	MDA-MB-435
12630:PROTX1@nn@polymorphisms@nsubj@markers@prep_for@PROTX2	ERCC2	breast cancer
12632:PROTX1@nn@)@nsubj@arginine@dobj@)@nn@PROTX2	CPD	Arg
12633:PROTX1@nsubj@increases@dobj@PROTX2	CPD	Arg
12635:PROTX1@nsubj@up-regulated@dobj@mRNA@nn@PROTX2	PRL	CPD
12642:PROTX1@nn@knockdown@nsubj@affect@dobj@uptake@amod@PROTX2	CPD	L-Arg
12643:PROTX1@nsubj@released@dobj@PROTX2	CPD	Arg
12662:PROTX1@prep_of@Movement@nsubj@PROTX0@prep_in@activity@nn@PROTX2	PR	PR
12667:PROTX1@nn@tumors@nsubj@express@dobj@PROTX2	breast	PR
12685:PROTX1@prep_for@mechanisms@nsubj@include@dobj@proliferation@nn@PROTX2	breast cancer	breast
12689:PROTX1@amod@variants@prep_between@association@prep_between@risk@nn@PROTX2	CDKN1B	breast cancer
12693:PROTX1@nn@polymorphisms@nsubj@modify@dobj@risk@nn@PROTX2	CDKN1B	breast cancer
12698:PROTX1@prep_of@co-occupancy@prep_on@promoter@amod@PROTX2	Sp1	TFF1
12699:PROTX1@prep_of@co-occupancy@nsubj@phosphorylated@dobj@II@prep_on@promoter@nn@PROTX2	Sp3	TFF1
12701:PROTX1@nn@hASIP)@nsubj@contains@dobj@site@amod@PROTX2	ASIP	aPKC
12712:PROTX1@nsubj@differs@prep_from@PROTX2	breast cancer	breast cancer
12767:PROTX1@prep_between@talk@prep_between@PROTX2	c-Src	EGFR
12783:PROTX1@nsubj@marker@prep_for@carcinoma@nn@PROTX2	Snail	breast
12785:PROTX1@nn@cells@prep_with@PROTX2	breast	VEGF-A
12817:PROTX1@nsubj@stabilizes@dobj@factor@amod@PROTX2	Loxl2	Snai1
12833:PROTX1@nsubj@act@prep_as@PROTX2	MSCs	neo-organoid
12852:PROTX1@amod@status@prep_in@PROTX2	Gc2	breast cancer
12871:PROTX1@nn@proliferation@nsubjpass@mediated@agent@PROTX2	breast	AR
12883:PROTX1@prep_of@profiling@nsubj@demonstrates@dobj@expression@prep_of@PROTX2	breast cancer	FGFR2
12892:PROTX1@nsubj@determinant@prep_for@sensitivity/resistance@nn@PROTX2	ISG15	CPT
12895:PROTX1@nn@knockdown@prep_of@PROTX2	CPT	ISG15
12896:PROTX1@nsubj@interferes@prep_with@repair@prep_of@complexes@nn@PROTX2	ISG15	TOP1-DNA
12905:PROTX1@nsubj@downregulated@prep_in@tumors@nn@PROTX2	BRMS1	breast
12911:PROTX1@amod@expression@prep_of@PROTX2	Dab2	DBP
12923:PROTX1@nsubj@chemoattractant@prep_for@carcinoma@nn@PROTX2	C3	breast
12926:PROTX1@prep_of@ablation@nsubj@decreased@dobj@ability@prep_of@cells@nn@PROTX2	VAMP7	breast cancer
12940:PROTX1@amod@proteins@prep_such_as@PROTX2	pro-apoptotic	Bax
12956:PROTX1@nsubj@plays@dobj@role@prep_in@carcinogenesis@nn@PROTX2	PTEN	breast
12962:PROTX1@amod@promoter@prep_in@PROTX2	RUNX3	breast cancer
12969:PROTX1@nn@overexpression@nsubj@increased@dobj@transactivation@nn@PROTX2	SKA2	GC
12973:PROTX1@nn@activity@prep_in@cells@nn@PROTX2	ECT	breast cancer
12974:PROTX1@nn@activity@prep_in@cells@nn@PROTX2	ECT	MCF-10A
12975:PROTX1@nn@)@nsubj@account@prep_for@most@prep_of@activity@nn@PROTX2	EGR1	ECT
12977:PROTX1@nsubj@stimulator@prep_of@PROTX2	EGR1	PCYT2
12986:PROTX1@prep_between@link@prep_between@PROTX2	PPARA	breast cancer
12987:PROTX1@nn@polymorphisms@nsubjpass@evaluated@prep_with@PROTX2	PPARA	breast cancer
13009:PROTX1@nsubj@deacetylase@dobj@binds@nn@PROTX2	Sp1	HDAC1
13013:PROTX1@xsubj@regulator@prep_of@kinase@nn@PROTX2	BTG3	SRC
13022:PROTX1@amod@overexpression@prep_on@PROTX2	HER2	breast cancer
13041:PROTX1@nn@cells@prep_to@)@nn@PROTX2	breast cancer	IR
13090:PROTX1@nsubj@mutation@prep_with@history@prep_of@PROTX2	BRCA2	breast cancer
13106:PROTX1@nn@complex@partmod@consisting@prep_of@PROTX2	MRN	RAD50
13116:PROTX1@nsubj@plays@prep_by@PROTX2	TNFR1/c-Src	TNF
13135:PROTX1@prep_of@Overexpression@nsubj@promotes@dobj@migration@prep_of@cells@nn@PROTX2	CEACAM6	breast cancer
13136:PROTX1@nsubjpass@overexpressed@prep_in@panel@prep_of@(MCF-7:5C@nn@PROTX2	CEACAM6	breast cancer
13147:PROTX1@nsubjpass@associated@prep_with@risk@nn@PROTX2	GSTP1	breast cancer
13149:PROTX1@nsubj@interacts@prep_with@PROTX2	BRCA2	Rad51
13150:PROTX1@nn@expression@nsubj@modulates@dobj@levels@amod@PROTX2	BRCA2	Rad51
13153:PROTX1@prep_of@overexpression@nsubj@rescues@dobj@deficiency@amod@PROTX2	Rad51	BRCA2
13157:PROTX1@prep_of@levels@nsubjpass@associated@prep_with@PROTX2	Skp2	breast cancer
13165:PROTX1@amod@autophosphorylation@prep_of@PROTX2	EGF-induced	EGFR
13173:PROTX1@nn@oncoprotein@nsubj@constituent@prep_of@complex@amod@PROTX2	ZNF217	core
13176:PROTX1@nsubj@activate@dobj@kinase/Akt@prep_in@PROTX0@nn@PROTX2	ErbB3	ErbB2-overexpressing
13181:PROTX1@nsubj@displays@dobj@specificity@prep_for@PROTX2	KLK7	Tyr
13182:PROTX1@nn@)@nsubj@marker@prep_in@PROTX2	ISG15	breast cancer
13208:PROTX1@amod@interval@nsubj@(@dobj@)@prep_of@PROTX2	short-term	breast cancer
13226:PROTX1@nn@haplotypes@nsubj@affect@dobj@activity@prep_in@carcinomas@nn@PROTX2	GSTP1	breast
13236:PROTX1@nn@)@nsubj@form@nsubj@PROTX2	EGFR	HER3
13238:PROTX1@nsubj@critical@prep_as@PROTX2	HER3	HER2
13244:PROTX1@prep_in@variation@nsubj@influence@dobj@risk@nn@PROTX2	COMT	breast cancer
13250:PROTX1@xsubj@enzyme@prep_in@metabolism@nn@PROTX2	CYP2B6	CPA
13252:PROTX1@prep_of@polymorphisms@nsubj@affect@dobj@metabolism@nn@PROTX2	CYP2B6	CPA
